citing_oid	citing_date	nd_cite	nw_cite	class	fix	context
14122	2004-11-02	2001 ND 159	639 N.W.2d 706	OTHER		ng under the influence, and we affirmed that conviction in *State v. Jensen,* 2001 ND 159, ¶ 1, 639 N.W.2d 706, holding
14122	2004-11-02	2003 ND 28	660 N.W.2d 232	DB_NO_PARALLEL		l of court-appointed counsel, and (6) illegal extradition. *Jensen v. State,* 2003 ND 28, ¶ 4, 660 N.W.2d 232 (outlinin
14122	2004-11-02	2002 ND 184	655 N.W.2d 84	OTHER		an earlier appeal). We summarily affirmed the dismissal in *Jensen v. State,* 2002 ND 184, ¶ 1, 655 N.W.2d 84. [¶ 4] I
14122	2004-11-02	2003 ND 28	660 N.W.2d 232	DB_NO_PARALLEL		peal from the denial of his application for post-conviction relief. *Jensen,* 2003 ND 28, ¶ 5, 660 N.W.2d 232. We summa
14122	2004-11-02	2003 ND 28	660 N.W.2d 232	DB_NO_PARALLEL		Jensen,* 2003 ND 28, ¶ 5, 660 N.W.2d 232. We summarily affirmed in *Jensen,* 2003 ND 28, ¶ 6, 660 N.W.2d 232. [¶ 5] I
14122	2004-11-02	2003 ND 28	660 N.W.2d 232	DB_NO_PARALLEL		378 ceedings, that issue has been rejected in a prior appeal. *See Jensen,* 2003 ND 28, ¶ 5, 660 N.W.2d 232. [¶ 13]
14127	2004-11-02	2004 ND 46	674 N.W.2d 402	NW_DIGIT_FLIP	674 N.W.2d 402 -> 675 N.W.2d 402	from the evidence. *Groleau,* 2004 ND 55, ¶ 5, 676 N.W.2d 763; *Muhammed,* 2004 ND 46, ¶ 8, 674 N.W.2d 402. Even und
18589	2006-05-11	2005 ND 27	694 N.W.2d 22	DB_NO_PARALLEL		t already addressed in his previous attempts for relief. Clifford v. O'Donnell, 2005 ND 27, 694 N.W.2d 22; Red Pain
14533	2006-06-01	2004 ND 72	688 N.W.2d 402	OTHER		bution of the proceeds of Roth’s 401 (k) plan. I [¶ 2] In *Both v. Hoffer,* 2004 ND 72, ¶ 3, 688 N.W.2d 402, *cert.
14533	2006-06-01	2004 ND 72	688 N.W.2d 402	OTHER		le on the distribution of the 401(k) plan in Roth’s prior appeal, *see Roth,* 2004 ND 72, ¶ 1, 688 N.W.2d 402, and in h
14549	2006-06-29	2001 ND 25	625 N.W.2d 264	OTHER		667 N.W.2d 641; *Interest of J.S.,*2002 ND 7, 638 N.W.2d 45; *Interest of J.S.,*2001 ND 25, 625 N.W.2d 264; *Interes
14573	2006-07-20	2004 ND 99	679 N.W.2d 768	DB_NO_PARALLEL		pl. 5.1(B) until further order of the Court. *Disciplinary Board v. Balerud,* 2004 ND 99, 679 N.W.2d 768. [¶ 2] O
14707	2007-03-02	1999 ND 107	563 N.W.2d 377	OTHER		fe would be educated, able to support *324 herself, and able to meet her needs. 1999 ND 107, ¶ 15, 563 N.W.2d 377. This 
