citing_opinion_id,citation,antecedent_name,candidate_oids
6228,193 N.W. 308,,2801|2802
6214,112 N.W. 60,,296|297
6214,140 N.W. 239,,1013|1014|1016
6195,169 N.W. 577,,1997|1998
6191,194 N.W. 113,,2795|2826
6191,190 N.W. 176,,2711|2712
6242,76 N.D. 205,Chester v. Einarson,9128|20391
6242,35 N.W.2d 137,,20391|9128
6186,294 N.W. 663,,5000|5001
6172,203 N.W. 898,,3130|3131
6164,47 N.W.2d 527,,10881|10882
6126,76 N.D. 205,Chester v. Einarson,9128|20391
6126,35 N.W.2d 137,,20391|9128
6121,130 N.W. 937,,757|758
6136,76 N.D. 205,Chester v. Einarson,9128|20391
6136,35 N.W.2d 137,,20391|9128
6136,61 N.W. 18,,5321|5322
6106,220 N.W. 441,,3710|3711
6106,196 N.W. 553,,2903|2904
6107,208 N.W. 104,,3287|3288
18182,111 N.W. 609,,271|272
17960,54 N.W. 1026,,5217|5218
17713,294 N.W. 663,,5000|5001
17705,103 N.W. 755,,103|104
17612,42 N.W.2d 438,,10070|10071
17305,149 N.W. 721,,1264|1265
17144,215 N.W. 552,,3569|3570
17145,166 N.W. 511,,1885|1886
17005,127 N.W. 78,,671|672|673|674|675
16331,204 N.W. 182,,3137|3138
16317,100 N.W. 1084,,5|6|7
16317,190 N.W. 176,,2711|2712
16595,68 N.D. 310,State v. Coman,4828|4829
16595,279 N.W. 256,,4828|4829
16430,204 N.W. 182,,3137|3138
16430,169 N.W. 80,,2008|2011
16146,76 N.D. 205,Chester v. Einarson,9128|20391
16146,35 N.W.2d 137,,20391|9128
16027,202 N.W. 404,,3096|3097
15521,153 N.W. 461,,1407|1408
16318,76 N.D. 205,Chester v. Einarson,9128|20391
16318,35 N.W.2d 137,,20391|9128
15520,234 N.W. 513,,4083|4084
15132,248 N.W. 268,,4393|4394
14981,76 N.D. 205,Chester v. Einarson,9128|20391
14981,35 N.W.2d 137,,20391|9128
14979,172 N.W. 62,,2121|2122
14979,73 N.W.2d 782,N.D.,14732|14733
15120,76 N.D. 205,Chester v. Einarson,9128|20391
15120,35 N.W.2d 137,,20391|9128
14733,172 N.W. 62,,2121|2122
14830,104 N.W. 525,,124|125
14826,234 N.W. 513,,4083|4084
14825,76 N.D. 205,Chester v. Einarson,9128|20391
14825,35 N.W.2d 137,,20391|9128
14598,95 N.W. 442,,5975|5976
14724,169 N.W. 31,,1985|1989
14429,140 N.W. 239,,1013|1014|1016
14440,73 N.W. 87,,5496|5497
14597,69 N.W. 185,,5408|5409
14828,69 N.W. 185,,5408|5409
14148,193 N.W. 51,,2814|2815
14148,125 N.W. 560,,615|616
14433,189 N.W. 322,,2690|2691
14021,42 N.W.2d 438,,10070|10071
14143,76 N.D. 205,Chester v. Einarson,9128|20391
14143,35 N.W.2d 137,,20391|9128
14029,116 N.W. 335,,394|395
14025,194 N.W. 113,,2795|2826
14025,190 N.W. 176,,2711|2712
13629,151 N.W. 991,,1334|1335
14147,99 N.W. 48,,6039|6040
13622,196 N.W. 553,,2903|2904
13531,76 N.D. 205,Chester v. Einarson,9128|20391
13531,35 N.W.2d 137,,20391|9128
13404,107 N.W. 43,,203|204
13619,54 N.W. 1026,,5217|5218
13619,149 N.W. 721,,1264|1265
12996,194 N.W. 113,,2795|2826
12998,208 N.W. 104,,3287|3288
12544,149 N.W. 721,,1264|1265
12698,42 N.W.2d 438,,10070|10071
13627,47 N.W.2d 527,,10881|10882
12542,118 N.W. 823,,20386|460
12035,280 N.W. 204,,4841|4842
11058,203 N.W. 898,,3130|3131
10526,61 N.W. 18,,5321|5322
10076,204 N.W. 182,,3137|3138
10076,214 N.W. 802,,3520|3521
8480,149 N.W. 721,,1264|1265
7182,175 N.W. 207,,2238|2239
8295,173 N.W. 752,,2176|2177
4929,175 N.W. 207,,2238|2239
4929,88 N.W. 1023,,5851|5852
4899,204 N.W. 856,,3181|3182
4799,215 N.W. 552,,3569|3570
4706,161 N.W. 1007,,1681|1682
4706,151 N.W. 287,,1310|1311
4679,99 N.W. 48,,6039|6040
4605,162 N.W. 302,,1720|1721
4510,249 N.W. 718,,4426|4428
4457,248 N.W. 268,,4393|4394
4387,61 N.W. 18,,5321|5322
4383,111 N.W. 609,,271|272
4038,41 N.D. 473,Druey v. Baldwin,2125|20387
3998,173 N.W. 787,,2185|2186
3558,145 N.W. 825,,1154|1155|1156|1157
3436,192 N.W. 974,,2792|2793
3424,17 N.D. 393,,415|422
3424,111 N.W. 615,,276|277|278
3402,100 N.W. 1084,,5|6|7
3394,18 N.D. 76,,458|20386
3385,172 N.W. 62,,2121|2122
3369,155 N.W. 32,,1461|1462
3341,206 N.W. 230,,3233|3234
3330,162 N.W. 413,,1732|1733|1734
3359,203 N.W. 898,,3130|3131
3202,203 N.W. 898,,3130|3131
3145,112 N.W. 60,,296|297
3031,114 N.W. 478,,355|356
2171,173 N.W. 475,,2169|2170
5750,84 N.W. 1117,,5751|5752|5753|5754|20489|20490|20491|20492|20493
5749,84 N.W. 1117,,5751|5752|5753|5754|20489|20490|20491|20492|20493
5748,84 N.W. 1117,,5751|5752|5753|5754|20489|20490|20491|20492|20493
5747,84 N.W. 1117,,5751|5752|5753|5754|20489|20490|20491|20492|20493
20411,2017 ND 13,In re C.D.G.E.,16834|16835
20411,889 N.W.2d 863,,16834|16835
20397,2022 ND 123,,18040|18052
20409,911 N.W.2d 919,,17184|17185
20407,2022 ND 123,,18040|18052
20405,2001 ND 203,In re D.P.,13479|13480
20405,636 N.W.2d 921,,13479|13480
20403,2008 ND 185,In re R.A.S.,15061|15062
20403,756 N.W.2d 771,,15061|15062
20403,2002 ND 211,In re Est. of Gleeson,13708|13709
20403,655 N.W.2d 69,,13708|13709
20403,982 N.W.2d 864,,18117|18118
20403,2003 ND 127,In re D.P.O.,13852|13853
20403,667 N.W.2d 590,,13852|13853
20499,173 N.W. 475,,2169|2170
